ibeuler_Selection,ibeuler_Cutflow,ahmetcan_Selection,ahmetcan_Cutflow
all Events,24816.0 ±157.53,all Events,24816.0 ±157.53
ALL,24816.0 ±157.53,eventweight 0.4061895551,10080.000143051147 ±63.99
evtweigt 0.4061,10077.777721881866 ±63.97,Size(signaljet) >= 2,9311.895683407784 ±61.50
Size(goodJets) >= 2,9309.842612594366 ±61.49,Size(signalele) >= 0,9311.895683407784 ±61.50
Size(goodEles) >= 0,9309.842612594366 ±61.49,Size(signalmuo) >= 0,9311.895683407784 ±61.50
Size(goodMuos) >= 0,9309.842612594366 ±61.49,Size(signallep) == 1,1594.2940264940262 ±25.45
Size(goodLepts) == 1,1593.9425192773342 ±25.44,Pt(signallep) descend,1594.2940264940262 ±25.45
Pt(goodLepts) descend,1593.9425192773342 ±25.44,MTl > 50,992.7272868156433 ±20.08
MTL > 50,992.5084120035172 ±20.08,MET > 240,332.26306080818176 ±11.62
MET > 250,312.2909037768841 ±11.26,Pt(signallep[0]) < 25,151.50870621204376 ±7.84
Pt(goodLepts) < 25,140.10450169444084 ±7.54,MET > 400,58.08510720729828 ±4.86
MET > 400,58.07230070233345 ±4.86,Size(signalbjet) > 0,8.123791217803955 ±1.82
Size(bjet) > 0,8.122000098228455 ±1.82,MET/meff > 0.25,8.123791217803955 ±1.82
ratio > 0.25,8.122000098228455 ±1.82,Size(signaljet) / Pt(signallep[0]) > 0.1,8.123791217803955 ±1.82
Size(goodJets) / Pt(goodLepts[0]) > 0.1,8.122000098228455 ±1.82,MTl > 100,5.280464291572571 ±1.46
MTL > 100,5.2793000638484955 ±1.46,,
