ibrahim_Selection,ibrahim_Cutflow,ahmetcan_Selection,ahmetcan_Cutflow
all Events,33354.0 ±182.63,all Events,33354.0 ±182.63
evtweigt 500/33354,500.00000781565905 ±2.74,eventweight 0.00599346,199.90585948247463 ±1.09
Size(goodJets) >= 2,499.8501007556915 ±2.74,Size(signaljet) >= 2,199.8459248840809 ±1.09
Size(goodLepts) == 1,138.37920705601573 ±1.44,Size(signalele) >= 0,199.8459248840809 ±1.09
Pt(goodLepts) descend,138.37920705601573 ±1.44,Size(signalmuo) >= 0,199.8459248840809 ±1.09
MTL > 50,116.80758112668991 ±1.32,Size(signallep) == 1,55.3256277772598 ±0.58
MET > 250,101.29220042005181 ±1.23,Pt(signallep) descend,55.3256277772598 ±0.58
Pt(goodLepts) > 25,95.2659366093576 ±1.20,MTl > 50,46.70103906840086 ±0.53
Size(goodJets) [] 4 6,62.04653212055564 ±0.96,MET > 240,40.95331108244136 ±0.50
Size(bjet) == 0,0.14990705996751785 ±0.05,Pt(signallep[0]) > 25,38.54394022701308 ±0.48
MET > 300,0.14990705996751785 ±0.05,Size(signaljet) >= 4 && Size(signaljet) < 6,17.566830789204687 ±0.32
ratio > 0.2,0.1049349419772625 ±0.04,Size(signalbjet) == 0,15.007623437792063 ±0.30
fAplanarity(goodJets) > 0.01,0.044972117990255356 ±0.03,MET > 300,14.054663323331624 ±0.29
Meff > 1000,0.044972117990255356 ±0.03,MET/meff > 0.2,9.607516122516245 ±0.24
MTL > 520,0.014990705996751785 ±0.01,fAplanarity(signaljet) > 0.01,6.365054349415004 ±0.20
,,meff > 1000,6.35906088957563 ±0.20
,,MTl > 520,0.761169399600476 ±0.07
