Selection in region 6JBveto,1200_700_200_6j_analysis_V6_Cutflow,1200_700_200_6j_analysis_V6_PAPER_CUTFLOW_Countflow,6JBveto_relative_error_std,ahmetcan_Selection,ahmetcan_Cutflow
evtweigt 386/30469,386.00000836793333 ±2.21,386.0 ±19.65,1.5329073419918133e-08,all Events,30469.0 ±174.55
Size(goodJets) >= 2,385.83531638234854 ±2.21,385.0 ±19.62,0.0015325137959867,eventweight 386/30469,386.00000836793333 ±2.21
Size(goodLepts) == 1,104.37671301793307 ±1.15,295.0 ±17.18,0.6750069019223781,Size(signaljet) >= 2,385.83531638234854 ±2.21
Pt(goodLepts) descend,104.37671301793307 ±1.15,295.0 ±17.18,0.6750069019223781,Size(signalele) >= 0,385.83531638234854 ±2.21
MTL > 50,93.03830324113369 ±1.09,253.0 ±15.91,0.6537426605602147,Size(signalmuo) >= 0,385.83531638234854 ±2.21
MET > 250,72.47714227158576 ±0.96,202.3000030517578 ±14.22,0.6681678354484166,Size(signallep) == 1,104.37671301793307 ±1.15
Pt(goodLepts) > 25,68.51186600327492 ±0.93,190.8000030517578 ±13.81,0.6669248984303205,Pt(signallep) descend,104.37671301793307 ±1.15
Size(goodJets) >= 6,26.806787807494402 ±0.58,62.099998474121094 ±7.88,0.5613985081671463,MTl > 50,93.03830324113369 ±1.09
Size(bjet) == 0,20.42180621251464 ±0.51,43.900001525878906 ±6.63,0.5162041211162242,MET > 240,73.94670152757317 ±0.97
AnaAplanarity > 0.01,19.05359587073326 ±0.49,42.5 ±6.52,0.5386886377543902,Pt(signallep[0]) > 25,69.8800763450563 ±0.94
Meff > 700,19.05359587073326 ±0.49,42.5 ±6.52,0.5386886377543902,Size(signaljet) >= 6,27.326200992800295 ±0.59
MET > 300,16.887262829579413 ±0.46,38.400001525878906 ±6.20,0.5502823694168116,Size(signalbjet) == 0,20.852539097890258 ±0.51
MTL > 250,10.818996591493487 ±0.37,27.5 ±5.24,0.6156346291055712,AnaAplanarity > 0.01,19.44632291328162 ±0.50
,,,,meff > 700,19.44632291328162 ±0.50
,,,,MET > 300,16.887262829579413 ±0.46
,,,,MTl > 225,11.55377621948719 ±0.38
