region,hist,sample,value,error
2JB,Meff,ttbar,-13.798236310482025,19.27458004942923
2JB,Meff,signal,5.2793000638484955,1.4642143906743126
2JB,MTL,ttbar,242.5217872262001,39.3067797153244
2JB,MTL,signal,8.122000098228455,1.8161344332898794
2JBveto,Meff,ttbar,-15.051618352532387,12.441384342689796
2JBveto,Meff,signal,34.51850041747093,3.7440570493877217
2JBveto,MTL,ttbar,100.01024247705936,28.17345731983072
2JBveto,MTL,signal,49.54420059919357,4.485521163328183
4JLowxB,Meff,ttbar,-79.55804228782654,18.883770903905475
4JLowxB,Meff,signal,0.05996282398700714,0.02998141199350357
4JLowxB,MTL,ttbar,-311.68960105860606,38.317517231589434
4JLowxB,MTL,signal,0.05996282398700714,0.02998141199350357
4JLowxBveto,Meff,ttbar,-17.11232054233551,6.369103034905684
4JLowxBveto,Meff,signal,0.3297955319285393,0.07031264365804417
4JLowxBveto,MTL,ttbar,-68.89091610035393,17.275450521456587
4JLowxBveto,MTL,signal,0.7195538878440857,0.10385865771080617
4JHighxB,Meff,ttbar,11.107788920402527,6.80516816330011
4JHighxB,Meff,signal,0.0,0.0
4JHighxB,MTL,ttbar,-311.68960105860606,38.317517231589434
4JHighxB,MTL,signal,0.16489776596426964,0.04971854713375633
4JHighxBveto,Meff,ttbar,-2.178271770477295,2.178271770477295
4JHighxBveto,Meff,signal,0.0,0.0
4JHighxBveto,MTL,ttbar,-68.89091610035393,17.275450521456587
4JHighxBveto,MTL,signal,0.7195538878440857,0.10385865771080617
6JB,Meff,ttbar,24.960683345794678,10.886266327946633
6JB,Meff,signal,0.012668614275753498,0.012668614275753498
6JB,MTL,ttbar,65.54669136321172,29.012882212104095
6JB,MTL,signal,0.19002921413630247,0.049065332109518835
6JBveto,Meff,ttbar,0.8130941390991211,3.9552527726717748
6JBveto,Meff,signal,0.038005842827260494,0.021942683587097455
6JBveto,MTL,ttbar,38.66245448589325,12.058504773863241
6JBveto,MTL,signal,0.5827562566846609,0.08592272244709176
