Selection in region 4JLowxB,analysis_V5_Cutflow,analysis_V5_PAPER_CUTFLOW_Countflow,4JLowxB_relative_error_std
evtweigt 500/33354,500.00000781565905 ±2.74,500.0 ±22.36,1.1053010935595395e-08
Size(goodJets) >= 2,499.8501007556915 ±2.74,499.0 ±22.34,0.0012036080460651904
Size(goodLepts) == 1,138.37920705601573 ±1.44,388.0 ±19.70,0.6706517014722082
Pt(goodLepts) descend,138.37920705601573 ±1.44,388.0 ±19.70,0.6706517014722082
MTL > 50,116.80758112668991 ±1.32,306.0 ±17.49,0.6328138297705583
MET > 250,101.29220042005181 ±1.23,234.0 ±15.30,0.5597421286970963
Pt(goodLepts) > 25,95.2659366093576 ±1.20,215.0 ±14.66,0.5457561283573384
Size(goodJets) [] 4 6,62.04653212055564 ±0.96,35.5 ±5.96,0.3848672519948209
Size(bjet) > 0,61.89662506058812 ±0.96,9.199999809265137 ±3.03,1.0482112513517308
MET > 300,58.08898573741317 ±0.93,8.199999809265137 ±2.86,1.0643348956207226
ratio > 0.2,43.697907980531454 ±0.81,4.800000190734863 ±2.19,1.1342746691260446
fAplanarity(goodJets) > 0.01,31.255622003227472 ±0.68,4.5 ±2.12,1.0582437498437822
Meff > 1000,31.22564059123397 ±0.68,4.5 ±2.12,1.0579450154493788
MTL [] 150 520,15.905139062553644 ±0.49,2.5999999046325684 ±1.61,1.0168152900531515
