Selection in region SR4j2200,CutFlow_Cutflow
all Events,28921.0 ±170.06
ALL,28921.0 ±170.06
evtweigt 28921/49.5,16897459.64593506 ±99360.73
MET > 300,15177390.450622559 ±94167.84
Size(goodJets) >= 2,15176806.187988281 ±94166.03
Pt(goodJets[0]) > 200,15176221.925354004 ±94164.22
Meff > 800,15176221.925354004 ±94164.22
Size(goodJets) >= 4,14741530.52545166 ±92805.85
dphi4 > 0.2,14012955.020507812 ±90483.40
Size(goodJets) < 5 || dphi5 > 0.2,13414085.820373535 ±88528.80
Size(goodJets) < 6 || dphi6 > 0.2,13003933.45111084 ±87164.86
Pt(goodJets[3]) > 100,10933890.937866211 ±79926.62
m4j < 2000,3625349.645690918 ±46023.43
Aplanarity > 0.04,2584193.6314086914 ±38856.76
METsqrtHT > 16,1864382.065979004 ±33004.38
Meff > 2200,1701957.0536499023 ±31533.95
