Selection in region SR2j2800,CutFlow_Cutflow
all Events,24417.0 ±156.26
ALL,24417.0 ±156.26
evtweigt 24417/1902,313454.2061920166 ±2005.99
MET > 300,238675.53759765625 ±1750.43
Size(goodJets) >= 2,237032.33251953125 ±1744.39
Pt(goodJets[0]) > 200,235119.53910827637 ±1737.34
Meff > 800,233450.65895080566 ±1731.16
dphi1 > 0.8,232269.60530090332 ±1726.78
dphi2 > 0.8,213590.9850769043 ±1655.89
Size(goodJets) < 3 || dphi3 > 0.8,184026.13121032715 ±1537.02
Size(goodJets) < 4 || dphi4 > 0.4,175591.86764526367 ±1501.39
Size(goodJets) < 5 || dphi5 > 0.4,170392.6640777588 ±1478.99
Size(goodJets) < 6 || dphi6 > 0.4,168094.74447631836 ±1468.99
Pt(goodJets[1]) > 250,102880.04293823242 ±1149.23
mjj < 1200,83996.02207946777 ±1038.41
METsqrtHT > 16,58834.44432067871 ±869.07
Meff > 2800,1206.7287292480469 ±124.46
