Selection in region 6JB,ibeuler_selection_Cutflow,ibeuler_selection_PAPER_CUTFLOW_Countflow,6JB_relative_error_std,ahmetcan_Selection,ahmetcan_Cutflow
ALL,30469.0 ±174.55,30469.0 ±174.55,0.0,all Events,30469.0 ±174.55
evtweigt 386/30469,386.00000836793333 ±2.21,386.0 ±19.65,1.5329073419918133e-08,eventweight 386/30469,386.00000836793333 ±2.21
Size(goodJets) >= 2,385.83531638234854 ±2.21,385.0 ±19.62,0.0015325137959867,Size(signaljet) >= 2,385.83531638234854 ±2.21
Size(goodEles) >= 0,385.83531638234854 ±2.21,385.0 ±19.62,0.0015325137959867,Size(signalele) >= 0,385.83531638234854 ±2.21
Size(goodMuos) >= 0,385.83531638234854 ±2.21,385.0 ±19.62,0.0015325137959867,Size(signalmuo) >= 0,385.83531638234854 ±2.21
Size(goodLepts) == 1,104.37671301793307 ±1.15,295.0 ±17.18,0.6750069019223781,Size(signallep) == 1,104.37671301793307 ±1.15
Pt(goodLepts) descend,104.37671301793307 ±1.15,295.0 ±17.18,0.6750069019223781,Pt(signallep) descend,104.37671301793307 ±1.15
MTL > 50,93.03830324113369 ±1.09,253.0 ±15.91,0.6537426605602147,MTl > 50,93.03830324113369 ±1.09
MET > 250,72.47714227158576 ±0.96,202.3000030517578 ±14.22,0.6681678354484166,MET > 240,73.94670152757317 ±0.97
Pt(goodLepts) > 25,68.51186600327492 ±0.93,190.8000030517578 ±13.81,0.6669248984303205,Pt(signallep[0]) > 25,69.8800763450563 ±0.94
Size(goodJets) >= 6,26.806787807494402 ±0.58,62.099998474121094 ±7.88,0.5613985081671463,Size(signaljet) >= 6,27.326200992800295 ±0.59
Size(bjet) > 0,6.384981594979763 ±0.28,18.200000762939453 ±4.27,0.6796409329797405,Size(signalbjet) > 0,6.4736618949100375 ±0.29
AnaAplanarity > 0.01,6.093603466637433 ±0.28,17.700000762939453 ±4.21,0.689846074110842,AnaAplanarity > 0.01,6.182283766567707 ±0.28
Meff > 700,6.093603466637433 ±0.28,17.700000762939453 ±4.21,0.689846074110842,meff > 700,6.182283766567707 ±0.28
MET > 300,5.485509981401265 ±0.26,16.100000381469727 ±4.01,0.6954274431831998,MET > 300,5.485509981401265 ±0.26
MTL > 250,3.58521784003824 ±0.21,12.0 ±3.46,0.7635632159379486,MTl > 225,3.813252897001803 ±0.22
,,,,,
