selection,ibrahim_value,ibrahim_err,ahmetcan_value,ahmetcan_err,delta,pull,symmetric_percent_diff,label_match_raw,label_match_norm
ALL,33354.0,182.63,33354.0,182.63,0.0,0.0,0.0,False,False
evtweigt 500/33354,500.00000781565905,2.74,500.00000781565905,2.74,0.0,0.0,0.0,False,False
Size(goodJets) >= 2,499.8501007556915,2.74,499.8501007556915,2.74,0.0,0.0,0.0,False,False
Size(goodEles) >= 0,499.8501007556915,2.74,499.8501007556915,2.74,0.0,0.0,0.0,False,False
Size(goodMuos) >= 0,499.8501007556915,2.74,499.8501007556915,2.74,0.0,0.0,0.0,False,False
Size(goodLepts) == 1,138.37920705601573,1.44,138.37920705601573,1.44,0.0,0.0,0.0,False,False
Pt(goodLepts) descend,138.37920705601573,1.44,138.37920705601573,1.44,0.0,0.0,0.0,False,False
MTL > 50,116.80758112668991,1.32,116.80758112668991,1.32,0.0,0.0,0.0,False,True
MET > 250,101.29220042005181,1.23,102.43149407580495,1.24,-1.1392936557531357,-0.6523041842136337,1.1184694628403238,False,False
Pt(goodLepts) > 25,95.2659366093576,1.2,96.40523026511073,1.2,-1.1392936557531357,-0.671335224788212,1.188800250273737,False,False
Size(goodJets) >= 4 && Size(goodJets) < 6,43.47304739058018,0.81,43.93775927647948,0.81,-0.46471188589930534,-0.40568015533010854,1.0632824558394787,False,False
Size(bjet) == 0,37.13197875395417,0.75,37.53672781586647,0.75,-0.4047490619122982,-0.38160107514277314,1.0841196546878138,False,False
MET > 300,35.15320556238294,0.73,35.15320556238294,0.73,0.0,0.0,0.0,True,True
ratio > 0.2,26.833363734185696,0.63,24.030101712793112,0.6,2.803262021392584,3.222140254474234,11.022693781314471,False,False
AnaAplanarity > 0.01,17.97385649010539,0.52,15.920129768550396,0.49,2.0537267215549946,2.8743839596614973,12.118531623175587,True,True
Meff > 1000,17.943875078111887,0.52,15.905139062553644,0.49,2.038736015558243,2.8534030548464497,12.046058458813109,False,True
MTL > 520,2.443485077470541,0.19,1.9038196615874767,0.17,0.5396654158830643,2.1167419126145464,24.82758620689655,False,True
,,,,,,,,True,True
